Year,Age,Gender,Race,Value
2017,6 to 11 Years,Male,,5.286436193
2017,6 to 11 Years,Female,,4.95734742
2017,12 to 14 Years,Male,,2.70769848
2017,12 to 14 Years,Female,,2.419208467
2017,15 Years,Male,,0.897471414
2017,15 Years,Female,,0.903680636
2017,16 & 17 Years,Male,,1.723775589
2017,16 & 17 Years,Female,,1.848915297
2017,18 to 24 Years,Male,,7.387063802
2017,18 to 24 Years,Female,,8.305551045
2017,25 to 34 Years,Male,,6.394065894
2017,25 to 34 Years,Female,,8.593563425
2017,35 to 44 Years,Male,,4.437683291
2017,35 to 44 Years,Female,,6.80100876
2017,45 to 54 Years,Male,,4.469684667
2017,45 to 54 Years,Female,,5.772666049
2017,55 to 64 Years,Male,,3.807208429
2017,55 to 64 Years,Female,,4.312543584
2017,65 to 74 Years,Male,,1.623950403
2017,65 to 74 Years,Female,,2.75402883
2017,75 Years & Over,Male,,1.123869205
2017,75 Years & Over,Female,,2.053819627
2017,,,White,38.48854769
2017,,,Hispanic,28.62855253
2017,,,Black,20.7348294
2017,,,Other,6.797751468
2017,,,Asian,2.803846639
2017,,,Two Or More,2.35659475
2017,,,Native American,0.140107109
2017,,,Pacific Islander,0.049770408
2018,Under 5 Years,Male,,4.969945685
2018,Under 5 Years,Female,,4.811587206
2018,5 Years,Male,,1.069402535
2018,5 Years,Female,,0.637296319
2018,6 to 11 Years,Male,,5.411225106
2018,6 to 11 Years,Female,,4.951599276
2018,12 to 14 Years,Male,,2.425588413
2018,12 to 14 Years,Female,,2.486904043
2018,15 Years,Male,,0.789861195
2018,15 Years,Female,,0.863729632
2018,16 & 17 Years,Male,,1.64055522
2018,16 & 17 Years,Female,,1.728424864
2018,18 to 24 Years,Male,,7.187447194
2018,18 to 24 Years,Female,,8.273264937
2018,25 to 34 Years,Male,,6.278817139
2018,25 to 34 Years,Female,,8.612673506
2018,35 to 44 Years,Male,,4.63922752
2018,35 to 44 Years,Female,,6.913699457
2018,45 to 54 Years,Male,,4.306578153
2018,45 to 54 Years,Female,,5.555582378
2018,55 to 64 Years,Male,,3.608931804
2018,55 to 64 Years,Female,,4.712130356
2018,65 to 74 Years,Male,,1.769945685
2018,65 to 74 Years,Female,,2.876041038
2018,75 Years & Over,Male,,1.278455039
2018,75 Years & Over,Female,,2.201086301
2018,,,White,38.48854769
2018,,,Hispanic,28.62855253
2018,,,Black,20.7348294
2018,,,Other,6.797751468
2018,,,Asian,2.803846639
2018,,,Two Or More,2.35659475
2018,,,Native American,0.140107109
2018,,,Pacific Islander,0.049770408
2019,Under 5 Years,Male,,4.871410519
2019,Under 5 Years,Female,,4.536315593
2019,5 Years,Male,,1.041096451
2019,5 Years,Female,,0.686560903
2019,6 to 11 Years,Male,,5.666429628
2019,6 to 11 Years,Female,,5.232596807
2019,12 to 14 Years,Male,,2.541605488
2019,12 to 14 Years,Female,,2.55337218
2019,15 Years,Male,,0.642563706
2019,15 Years,Female,,0.876362762
2019,16 & 17 Years,Male,,1.739935641
2019,16 & 17 Years,Female,,1.549110592
2019,18 to 24 Years,Male,,6.894258366
2019,18 to 24 Years,Female,,8.036650688
2019,25 to 34 Years,Male,,5.718612349
2019,25 to 34 Years,Female,,8.595312764
2019,35 to 44 Years,Male,,4.914384525
2019,35 to 44 Years,Female,,7.248282319
2019,45 to 54 Years,Male,,3.932121535
2019,45 to 54 Years,Female,,5.178879299
2019,55 to 64 Years,Male,,3.649209329
2019,55 to 64 Years,Female,,4.827413323
2019,65 to 74 Years,Male,,1.994710105
2019,65 to 74 Years,Female,,3.293650591
2019,75 Years & Over,Male,,1.330659395
2019,75 Years & Over,Female,,2.448495142
2019,,,White,38.97726693
2019,,,Hispanic,28.81184946
2019,,,Black,20.24670585
2019,,,Other,6.619976837
2019,,,Asian,2.775896102
2019,,,Two Or More,2.231788417
2019,,,Native American,0.304467219
2019,,,Pacific Islander,0.032049182
