Year,Month,Value
2014,January,1136
2014,Feburary,1148
2014,March,1148
2014,April,1153
2014,May,1161
2014,June,1172
2014,July,1194
2014,August,1189
2014,September,1188
2014,October,1184
2014,November,1180
2014,December,1184
2015,January,1187
2015,Feburary,1194
2015,March,1199
2015,April,1210
2015,May,1223
2015,June,1226
2015,July,1237
2015,August,1242
2015,September,1246
2015,October,1250
2015,November,1248
2015,December,1251
2016,January,1257
2016,Feburary,1259
2016,March,1265
2016,April,1275
2016,May,1289
2016,June,1296
2016,July,1305
2016,August,1308
2016,September,1308
2016,October,1309
2016,November,1306
2016,December,1306
2017,January,1315
2017,Feburary,1324
2017,March,1322
2017,April,1337
2017,May,1351
2017,June,1359
2017,July,1368
2017,August,1372
2017,September,1362
2017,October,1374
2017,November,1379
2017,December,1389
2018,January,1396
2018,Feburary,1405
2018,March,1415
2018,April,1425
2018,May,1434
2018,June,1447
2018,July,1454
2018,August,1460
2018,September,1461
2018,October,1464
2018,November,1466
2018,December,1466
2019,January,1471
2019,Feburary,1475
2019,March,1483
2019,April,1491
2019,May,1502
2019,June,1510
2019,July,1517
2019,August,1518
2019,September,1521
2019,October,1523
2019,November,1520
2019,December,1524
2020,January,1526
2020,Feburary,1532
2020,March,1535
2020,April,1525
2020,May,1522
2020,June,1525
2020,July,1532
2020,August,1531
2020,September,1533
2020,October,1532
2020,November,1535
2020,December,1544
2021,January,1554
2021,Feburary,1564
2021,March,1582
2021,April,1616
2021,May,1647
2021,June,1694
2021,July,1749
2021,August,1804
2021,September,1841
2021,October,1876
2021,November,1907
2021,December,1918
2022,January,1926
2022,Feburary,1945
2022,March,1977
2022,April,1999
