Year,Value
2000,989.8
2001,989.79
2002,989.8
2003,989.79
2004,989.79
2005,989.79
2006,989.8
2007,989.79
2008,989.79
2009,989.78
2010,989.79
2011,989.78
2012,989.79
2013,989.78
2014,989.8
