Year,Value,Units
2014,12.03,Disconnected Youth Percentage
2015,10.44,Disconnected Youth Percentage
2016,10.05,Disconnected Youth Percentage
2017,10.45,Disconnected Youth Percentage
2018,10.47,Disconnected Youth Percentage
2019,10.08,Disconnected Youth Percentage
2014,155030.0,Total Disconnected Youth
2015,126828.0,Total Disconnected Youth
2016,121129.0,Total Disconnected Youth
2017,124611.0,Total Disconnected Youth
2018,124909.0,Total Disconnected Youth
2019,118299.0,Total Disconnected Youth
