Year,Value,Units
2010,1.2,Per capita real GDP growth rate
2011,0.0,Per capita real GDP growth rate
2012,2.0,Per capita real GDP growth rate
2013,1.2,Per capita real GDP growth rate
2014,3.2,Per capita real GDP growth rate
2015,4.5,Per capita real GDP growth rate
2016,1.0,Per capita real GDP growth rate
2017,2.6,Per capita real GDP growth rate
2010,763976.0,GDP in millions of current dollars
2011,782565.0,GDP in millions of current dollars
2012,820863.0,GDP in millions of current dollars
2013,852034.0,GDP in millions of current dollars
2014,901980.0,GDP in millions of current dollars
2015,967100.0,GDP in millions of current dollars
2016,996432.0,GDP in millions of current dollars
2017,1043735.0,GDP in millions of current dollars
