Year,Value,Units
2012,85,safe on school grounds
2012,73,safe in the neighborhood outside the school
2013,71,safe on school grounds
2013,60,safe in the neighborhood outside the school
2014,73,safe on school grounds
2014,63,safe in the neighborhood outside the school
2015,63,safe on school grounds
2015,53,safe in the neighborhood outside the school
2016,68,safe on school grounds
2016,58,safe in the neighborhood outside the school
2017,87,safe on school grounds
2017,80,safe in the neighborhood outside the school
2018,85,safe on school grounds
2018,79,safe in the neighborhood outside the school
2019,64,safe on school grounds
2019,61,safe in the neighborhood outside the school
