Year,Value,Units
2011,11.8,under 5 overweight
2012,14.8,under 5 overweight
2013,12.0,under 5 overweight
2014,8.8,under 5 overweight
2015,9.0,under 5 overweight
2016,29.5,under 5 overweight
2017,12.4,under 5 overweight
2018,7.1,under 5 overweight
