Year,Value,Units
2011,58356.0,Number of deaths
2011,,Rate per 1000 deaths
2012,58675.0,Number of deaths
2012,,Rate per 1000 deaths
2013,59883.0,Number of deaths
2013,,Rate per 1000 deaths
2014,58786.0,Number of deaths
2014,,Rate per 1000 deaths
2015,62408.0,Number of deaths
2015,,Rate per 1000 deaths
2016,63185.0,Number of deaths
2016,,Rate per 1000 deaths
2017,63792.0,Number of deaths
2017,,Rate per 1000 deaths
