Year,Value,Units
2011,756470973.0,GPD (Thousands of current dollars)
2012,788081634.0,GPD (Thousands of current dollars)
2013,820353615.0,GPD (Thousands of current dollars)
2014,858170811.0,GPD (Thousands of current dollars)
2015,912384865.0,GPD (Thousands of current dollars)
2016,945600303.0,GPD (Thousands of current dollars)
2017,995114475.0,GPD (Thousands of current dollars)
2018,1047661346.0,GPD (Thousands of current dollars)
2011,41173.0,Real per capita personal income (Chained 2012 dollars)
2012,43345.0,Real per capita personal income (Chained 2012 dollars)
2013,42439.0,Real per capita personal income (Chained 2012 dollars)
2014,44375.0,Real per capita personal income (Chained 2012 dollars)
2015,47402.0,Real per capita personal income (Chained 2012 dollars)
2016,48330.0,Real per capita personal income (Chained 2012 dollars)
2017,49222.0,Real per capita personal income (Chained 2012 dollars)
2013,9.6,Unemployment rate
2014,8.2,Unemployment rate
2015,6.8,Unemployment rate
2016,6.2,Unemployment rate
2017,5.5,Unemployment rate
2018,5.2,Unemployment rate
2011,7199859.0,City Expense Budget (Thousands of dollars)
2012,7447547.0,City Expense Budget (Thousands of dollars)
2013,7709460.0,City Expense Budget (Thousands of dollars)
2014,7069720.0,City Expense Budget (Thousands of dollars)
2015,7420932.0,City Expense Budget (Thousands of dollars)
2016,8582563.0,City Expense Budget (Thousands of dollars)
2017,8776961.0,City Expense Budget (Thousands of dollars)
2018,9292135.0,City Expense Budget (Thousands of dollars)
2019,9899768.0,City Expense Budget (Thousands of dollars)
2011,6749232.0,City Revenue Budget (Thousands of dollars)
2012,6871560.0,City Revenue Budget (Thousands of dollars)
2013,7246117.0,City Revenue Budget (Thousands of dollars)
2014,7685509.0,City Revenue Budget (Thousands of dollars)
2015,8122943.0,City Revenue Budget (Thousands of dollars)
2016,8582563.0,City Revenue Budget (Thousands of dollars)
2017,8776961.0,City Revenue Budget (Thousands of dollars)
2018,9292126.0,City Revenue Budget (Thousands of dollars)
2019,9899768.0,City Revenue Budget (Thousands of dollars)
