Year,Value,Units
2015,37160.0,Recycling tonnage
2015,14.7,Recycling rate
2016,222035.0,Recycling tonnage
2016,14.3,Recycling rate
2017,219396.0,Recycling tonnage
2017,13.8,Recycling rate
2018,206390.0,Recycling tonnage
2018,13.1,Recycling rate
2019,210422.0,Recycling tonnage
2019,13.0,Recycling rate
2020,263459.0,Recycling tonnage
2020,15.0,Recycling rate
