Year,Value,Units
2019,5.3,Percent by Race/Ethnicity
2018,6.0,Percent by Race/Ethnicity
2018,6.0,Percent by Gender
2018,6.0,Percent by Disability Status
2017,6.3,Percent by Race/Ethnicity
2017,6.3,Percent by Gender
2017,6.3,Percent by Disability Status
2016,6.7,Percent by Race/Ethnicity
2016,6.7,Percent by Gender
2016,6.7,Percent by Disability Status
2015,7.2,Percent by Race/Ethnicity
2015,7.2,Percent by Gender
2015,7.2,Percent by Disability Status
2014,9.0,Percent by Race/Ethnicity
2014,9.0,Percent by Gender
2014,9.0,Percent by Disability Status
2013,10.7,Percent by Race/Ethnicity
2013,10.7,Percent by Gender
2013,10.7,Percent by Disability Status
