Value,Disaggregation combinations using this value,Number of indicators
0.0,2,1
12.0,2,1
12.1,1,1
13.2,1,1
17.8,1,1
19.1,1,1
19.5,1,1
19.6,1,1
23.6,1,1
24.7,1,1
25.3,1,1
26.0,1,1
28.1,1,1
30.1,1,1
5.9,1,1
6.0,1,1
6.4,1,1
6.7,1,1
