Value,Disaggregation combinations using this value,Number of indicators
14144,1,1
14242,1,1
15186,1,1
15327,1,1
15392,1,1
15393,1,1
15703,1,1
15729,1,1
15829,1,1
16221,1,1
16556,1,1
16568,1,1
16621,1,1
16649,1,1
16718,1,1
16858,1,1
16887,1,1
16914,1,1
16966,1,1
19917,1,1
