Year,Value,Units
2019,36390.0,median earnings
2019,80.9,women's earnings as a percentage of men's earnings
2018,34655.0,median earnings
2018,84.0,women's earnings as a percentage of men's earnings
2017,32300.0,median earnings
2017,84.5,women's earnings as a percentage of men's earnings
2016,30837.0,median earnings
2016,85.5,women's earnings as a percentage of men's earnings
2015,30361.0,median earnings
2015,84.8,women's earnings as a percentage of men's earnings
