Year,Value,Units
2012,22,By Gender
2012,22,By Race/Ethnicity
2013,18,By Gender
2013,18,By Race/Ethnicity
2014,21,By Gender
2014,21,By Race/Ethnicity
2015,20,By Gender
2015,20,By Race/Ethnicity
2016,19,By Gender
2016,19,By Race/Ethnicity
