Year,Value,Units
2019,45.5,Percent Female in Management Occupations
2018,44.5,Percent Female in Management Occupations
2017,44.2,Percent Female in Management Occupations
2016,43.8,Percent Female in Management Occupations
2015,41.7,Percent Female in Management Occupations
2014,41.0,Percent Female in Management Occupations
2013,41.2,Percent Female in Management Occupations
2012,41.3,Percent Female in Management Occupations
2019,72359.0,(subindicator) Median Earnings
2018,71171.0,(subindicator) Median Earnings
2017,70407.0,(subindicator) Median Earnings
2016,65378.0,(subindicator) Median Earnings
2015,62353.0,(subindicator) Median Earnings
2014,61487.0,(subindicator) Median Earnings
2013,61927.0,(subindicator) Median Earnings
2012,58705.0,(subindicator) Median Earnings
