Year,Value,Units
2011,26.9,Percentage By Race/ Ethnicity
2011,26.9,Percentage By Education
2011,26.9,Percentage By Federal Poverty Level
2015,31.6,Percentage By Race/ Ethnicity
2015,31.6,Percentage By Education
2015,31.6,Percentage By Federal Poverty Level
2018,29.6,Percentage By Race/ Ethnicity
2018,29.6,Percentage By Education
2018,29.6,Percentage By Federal Poverty Level
