Year,Value,Units
2013,32.76,GHG efficiency (metric tons per million dollars)
2014,34.45,GHG efficiency (metric tons per million dollars)
2015,31.53,GHG efficiency (metric tons per million dollars)
2016,27.3,GHG efficiency (metric tons per million dollars)
2017,26.18,GHG efficiency (metric tons per million dollars)
2013,27.91,GHG emissions by sector (million metric tons)
2014,31.07,GHG emissions by sector (million metric tons)
2015,30.49,GHG emissions by sector (million metric tons)
2016,27.2,GHG emissions by sector (million metric tons)
2017,27.32,GHG emissions by sector (million metric tons)
