Year,Value,Units
2015,42,Percent by Education Level
2015,42,Percent by Race/ Ethnicity
2016,44,Percent by Education Level
2016,44,Percent by Race/ Ethnicity
2017,42,Percent by Education Level
2017,42,Percent by Race/ Ethnicity
2018,41,Percent by Education Level
2018,41,Percent by Race/ Ethnicity
2019,40,Percent by Education Level
2019,40,Percent by Race/ Ethnicity
