Year,Value,Units
2017-2018,-0.002,Year Over Year Growth Rate (%)
2016-2017,43.0,Year Over Year Growth Rate (%)
2016,34.0,Year Over Year Growth Rate (%)
2015,62.0,Year Over Year Growth Rate (%)
2013-2014,-18.0,Year Over Year Growth Rate (%)
2012-2013,48.0,Year Over Year Growth Rate (%)
2017-2018,780.0,Dollars ($M)
2016-2017,781.6,Dollars ($M)
2016,548.4,Dollars ($M)
2015,410.0,Dollars ($M)
2013-2014,252.8,Dollars ($M)
2012-2013,310.0,Dollars ($M)
