Year,Value,Units
2015,78.1,Percent by age
2015,78.1,Percent by race/ ethnicity
2016,83.1,Percent by age
2016,83.1,Percent by race/ ethnicity
2017,87.0,Percent by age
2017,87.0,Percent by race/ ethnicity
2018,88.3,Percent by age
2018,88.3,Percent by race/ ethnicity
2019,90.4,Percent by age
2019,90.4,Percent by race/ ethnicity
