Year,Value,Units
2020,37028.0,Total park acres
2020,12.6,Parkland as percent of city area (%)
2019,36934.0,Total park acres
2019,12.5,Parkland as percent of city area (%)
2018,37405.0,Total park acres
2018,12.5,Parkland as percent of city area (%)
2017,37405.0,Total park acres
2017,12.5,Parkland as percent of city area (%)
2016,38822.0,Total park acres
2016,13.2,Parkland as percent of city area (%)
2015,36177.0,Total park acres
2015,12.3,Parkland as percent of city area (%)
2014,36112.0,Total park acres
2014,12.2,Parkland as percent of city area (%)
