Year,Value,Units
2013,11.95,Fine Particulates PM2.5
2013,29.5,Suspended Particulates PM10
2014,12.36,Fine Particulates PM2.5
2014,35.4,Suspended Particulates PM10
2015,12.38,Fine Particulates PM2.5
2015,33.0,Suspended Particulates PM10
2016,11.83,Fine Particulates PM2.5
2016,32.4,Suspended Particulates PM10
2017,11.94,Fine Particulates PM2.5
2017,34.4,Suspended Particulates PM10
2018,12.58,Fine Particulates PM2.5
2018,34.1,Suspended Particulates PM10
2019,10.85,Fine Particulates PM2.5
2019,25.5,Suspended Particulates PM10
