Year,Value,Units
2011,480.1,Millions current $
2011,0.06,Proportion of total GDP
2012,463.3,Millions current $
2012,0.06,Proportion of total GDP
2013,439.6,Millions current $
2013,0.05,Proportion of total GDP
2014,409.3,Millions current $
2014,0.05,Proportion of total GDP
2015,393.8,Millions current $
2015,0.04,Proportion of total GDP
2016,440.4,Millions current $
2016,0.04,Proportion of total GDP
2017,449.2,Millions current $
2017,0.04,Proportion of total GDP
