Year,Value,Units
2017,897.0,Deaths
2017,8.8,"Rate per 100,000"
2016,807.0,Deaths
2016,8.0,"Rate per 100,000"
2015,715.0,Deaths
2015,7.0,"Rate per 100,000"
2014,705.0,Deaths
2014,7.0,"Rate per 100,000"
2013,778.0,Deaths
2013,7.8,"Rate per 100,000"
2012,648.0,Deaths
2012,6.5,"Rate per 100,000"
2011,648.0,Deaths
2011,6.6,"Rate per 100,000"
