Year,Value,Units
2011,193.0,Total Number of Deaths
2011,1.48,"Death Rate per 1,000"
2012,187.0,Total Number of Deaths
2012,1.42,"Death Rate per 1,000"
2013,153.0,Total Number of Deaths
2013,1.19,"Death Rate per 1,000"
2014,162.0,Total Number of Deaths
2014,1.24,"Death Rate per 1,000"
2015,162.0,Total Number of Deaths
2015,1.3,"Death Rate per 1,000"
2016,162.0,Total Number of Deaths
2016,1.32,"Death Rate per 1,000"
2017,132.0,Total Number of Deaths
2017,1.13,"Death Rate per 1,000"
