Year,Value,Units
2010,7280000000.0,Total Budget
2010,6880000000.0,Total Revenue
2010,49.79,% Budget Funded by Taxes
2010,3425791301.0,Tax Revenue by Source
2011,7200000000.0,Total Budget
2011,6750000000.0,Total Revenue
2011,50.23,% Budget Funded by Taxes
2011,3390761998.0,Tax Revenue by Source
2012,7450000000.0,Total Budget
2012,6870000000.0,Total Revenue
2012,50.25,% Budget Funded by Taxes
2012,3451923562.0,Tax Revenue by Source
2013,7780000000.0,Total Budget
2013,7250000000.0,Total Revenue
2013,48.99,% Budget Funded by Taxes
2013,3551581733.0,Tax Revenue by Source
2014,7070000000.0,Total Budget
2014,7690000000.0,Total Revenue
2014,49.17,% Budget Funded by Taxes
2014,3780940249.0,Tax Revenue by Source
2015,7420000000.0,Total Budget
2015,8120000000.0,Total Revenue
2015,48.67,% Budget Funded by Taxes
2015,3952239783.0,Tax Revenue by Source
2016,8580000000.0,Total Budget
2016,8580000000.0,Total Revenue
2016,48.48,% Budget Funded by Taxes
2016,4159982467.0,Tax Revenue by Source
2017,8780000000.0,Total Budget
2017,8780000000.0,Total Revenue
2017,48.68,% Budget Funded by Taxes
2017,4274207118.0,Tax Revenue by Source
2018,9290000000.0,Total Budget
2018,9290000000.0,Total Revenue
2018,48.23,% Budget Funded by Taxes
2018,4480622950.0,Tax Revenue by Source
2019,9900000000.0,Total Budget
2019,9900000000.0,Total Revenue
2019,48.55,% Budget Funded by Taxes
2019,4806772720.0,Tax Revenue by Source
2020,10710000000.0,Total Budget
2020,10650000000.0,Total Revenue
2020,46.51,% Budget Funded by Taxes
2020,4953748670.0,Tax Revenue by Source
