Year,Value,Units
2018,17.9,By Gender
2018,17.9,By Age Group
2018,17.9,By Race/Ethnicity
2015,15.9,By Gender
2015,15.9,By Age Group
2015,15.9,By Race/Ethnicity
2011,15.4,By Gender
2011,15.4,By Age Group
2011,15.4,By Race/Ethnicity
