Year,Value,Units
2020,44.8,	Percent Female in Management Occupations
2019,45.3,	Percent Female in Management Occupations
2018,44.5,	Percent Female in Management Occupations
2017,39.0,	Percent Female in Management Occupations
2016,44.6,	Percent Female in Management Occupations
2015,42.1,	Percent Female in Management Occupations
2020,60233.0,(subindicator) Median Earnings
2019,60577.0,(subindicator) Median Earnings
2018,61017.0,(subindicator) Median Earnings
2017,62028.0,(subindicator) Median Earnings
2016,60350.0,(subindicator) Median Earnings
2015,50091.0,(subindicator) Median Earnings
